fecha,promedio_score,minutos_activos,es_festivo
2026-04-25,63.15,54,no
2026-04-26,,0,no
2026-04-27,62.39,346,no
2026-04-28,,0,no
2026-04-29,62.26,364,no
2026-04-30,69.06,386,no
2026-05-01,59.60,381,no
2026-05-02,,0,no
2026-05-03,,0,no
2026-05-04,59.54,255,no
2026-05-05,,0,no
2026-05-06,74.54,244,no
2026-05-07,68.10,358,no
2026-05-08,64.42,300,no
2026-05-09,,0,no
2026-05-10,,0,no
2026-05-11,74.10,421,no
2026-05-12,68.55,382,no
2026-05-13,79.55,283,no
2026-05-14,68.53,299,no
2026-05-15,58.26,232,no
2026-05-16,70.83,47,no
2026-05-17,,0,no
2026-05-18,,0,no
2026-05-19,75.27,311,no
2026-05-20,,0,no
2026-05-21,70.31,340,no
2026-05-22,65.08,362,no
2026-05-23,,0,no
2026-05-24,,0,no
2026-05-25,,0,no
2026-05-26,76.93,279,no
2026-05-27,72.79,426,no
2026-05-28,71.81,414,no
2026-05-29,68.81,330,no
2026-05-30,,0,no
2026-05-31,,0,no
2026-06-01,78.35,426,no
2026-06-02,69.89,286,no
2026-06-03,76.82,359,no
2026-06-04,78.68,299,no
2026-06-05,65.47,417,no
2026-06-06,,0,no
2026-06-07,,0,no
2026-06-08,74.63,236,no
2026-06-09,76.32,430,no
2026-06-10,74.46,231,no
2026-06-11,,0,no
2026-06-12,68.04,360,no
2026-06-13,,0,no
2026-06-14,,0,no
2026-06-15,80.19,284,no
2026-06-16,81.41,261,no
2026-06-17,79.22,268,no
2026-06-18,74.80,401,no
2026-06-19,69.59,314,no
2026-06-20,,0,no
2026-06-21,,0,no
2026-06-22,,0,no
2026-06-23,74.56,230,no
2026-06-24,75.45,258,no
2026-06-25,,0,no
2026-06-26,68.88,240,no
2026-06-27,79.40,113,no
2026-06-28,,0,no
2026-06-29,74.91,426,no
2026-06-30,81.45,323,no
2026-07-01,81.15,279,no
2026-07-02,72.73,239,no
2026-07-03,75.82,310,no
2026-07-04,,0,no
2026-07-05,,0,no
2026-07-06,80.60,338,no
2026-07-07,82.79,318,no
2026-07-08,75.02,216,no
2026-07-09,74.41,349,no
2026-07-10,69.06,320,no
2026-07-11,75.90,124,no
2026-07-12,,0,no
2026-07-13,79.77,326,no
2026-07-14,79.77,237,no
2026-07-15,78.52,217,no
2026-07-16,78.48,313,no
2026-07-17,80.28,370,no
2026-07-18,71.71,130,no
2026-07-19,77.43,54,no
2026-07-20,,0,no
2026-07-21,79.83,361,no
2026-07-22,78.58,334,no
2026-07-23,75.95,397,no
2026-07-24,81.65,283,no
2026-07-25,,0,no
2026-07-26,,0,no
2026-07-27,79.69,345,no
2026-07-28,78.60,317,no
2026-07-29,82.91,290,no
2026-07-30,,0,no
2026-07-31,73.38,386,no
